order_date,revenue,anomaly
2025-01-01,729518.7,False
2025-01-02,746287.9400000001,False
2025-01-03,876741.93,False
2025-01-04,749499.92,False
2025-01-05,807708.21,False
2025-01-06,768324.79,False
2025-01-07,603474.76,False
2025-01-08,791568.15,False
2025-01-09,736370.89,False
2025-01-10,785599.67,False
2025-01-11,655988.19,False
2025-01-12,871508.33,False
2025-01-13,912050.13,False
2025-01-14,832745.96,False
2025-01-15,739394.61,False
2025-01-16,809803.53,False
2025-01-17,745752.79,False
2025-01-18,841839.62,False
2025-01-19,863895.91,False
2025-01-20,800815.4,False
2025-01-21,824026.55,False
2025-01-22,686737.93,False
2025-01-23,822036.99,False
2025-01-24,748829.5,False
2025-01-25,792561.43,False
2025-01-26,727224.84,False
2025-01-27,719061.68,False
2025-01-28,808759.55,False
2025-01-29,717167.26,False
2025-01-30,721397.88,False
2025-01-31,825764.9400000001,False
2025-02-01,689513.36,False
2025-02-02,894829.24,False
2025-02-03,729979.79,False
2025-02-04,828742.82,False
2025-02-05,624629.29,False
2025-02-06,829920.91,False
2025-02-07,895642.17,False
2025-02-08,837048.7,False
2025-02-09,665147.22,False
2025-02-10,784494.93,False
2025-02-11,792861.25,False
2025-02-12,828114.26,False
2025-02-13,859690.63,False
2025-02-14,913163.75,False
2025-02-15,833363.96,False
2025-02-16,751216.22,False
2025-02-17,804896.82,False
2025-02-18,843480.34,False
2025-02-19,745086.84,False
2025-02-20,839598.29,False
2025-02-21,740521.39,False
2025-02-22,830226.8,False
2025-02-23,837826.3,False
2025-02-24,710086.9,False
2025-02-25,746340.85,False
2025-02-26,800301.81,False
2025-02-27,697787.29,False
2025-02-28,805158.07,False
2025-03-01,799351.26,False
2025-03-02,786237.8,False
2025-03-03,823325.54,False
2025-03-04,751919.93,False
2025-03-05,832333.3,False
2025-03-06,796664.07,False
2025-03-07,735161.37,False
2025-03-08,826493.47,False
2025-03-09,768385.58,False
2025-03-10,799371.63,False
2025-03-11,873606.85,False
2025-03-12,818904.45,False
2025-03-13,706310.05,False
2025-03-14,761743.33,False
2025-03-15,754856.62,False
2025-03-16,830728.53,False
2025-03-17,709442.29,False
2025-03-18,712380.32,False
2025-03-19,712762.16,False
2025-03-20,637864.63,False
2025-03-21,847095.26,False
2025-03-22,797855.45,False
2025-03-23,747033.68,False
2025-03-24,689757.77,False
2025-03-25,814554.96,False
2025-03-26,849809.52,False
2025-03-27,772811.32,False
2025-03-28,786401.31,False
2025-03-29,828089.93,False
2025-03-30,832954.5,False
2025-03-31,746228.72,False
2025-04-01,857012.08,False
2025-04-02,857927.45,False
2025-04-03,738584.9400000001,False
2025-04-04,783276.62,False
2025-04-05,906604.95,False
2025-04-06,718007.72,False
2025-04-07,663415.67,False
2025-04-08,749057.98,False
2025-04-09,778200.59,False
2025-04-10,829571.72,False
2025-04-11,813625.32,False
2025-04-12,609110.5,False
2025-04-13,827340.42,False
2025-04-14,820425.89,False
2025-04-15,725123.24,False
2025-04-16,710398.38,False
2025-04-17,837604.81,False
